,City,Cloudness,Humidity,Latitude,Tempature,Wind Speed
506,makakilo city,20.0,57.0,21.35,79.7,5.82
507,dessalines,0.0,100.0,19.26,71.13,3.44
508,nicoya,40.0,88.0,10.15,77.0,3.36
509,praia da vitoria,75.0,73.0,38.73,69.8,7.02
510,acari,0.0,95.0,-6.44,65.64,10.71
511,semme,0.0,68.0,46.2,71.6,5.82
512,roura,56.0,100.0,4.73,73.4,7.47
513,lavumisa,0.0,80.0,-27.31,54.48,2.44
514,serenje,0.0,52.0,-13.23,60.42,9.82
515,nanakuli,40.0,69.0,21.39,79.72,8.05
516,inhambane,0.0,100.0,-23.87,64.4,11.61
517,olinda,20.0,83.0,-2.03,71.6,13.87
518,umtata,0.0,76.0,-31.59,48.2,1.12
519,hofn,80.0,96.0,64.25,49.89,34.43
520,imeni zhelyabova,24.0,72.0,58.95,63.84,9.6
521,bahir dar,24.0,100.0,11.59,62.31,4.12
522,esperantinopolis,0.0,88.0,-4.87,72.39,4.56
523,srednekolymsk,20.0,56.0,67.46,54.39,4.23
524,bongor,48.0,91.0,10.28,74.37,6.58
525,kirkwall,75.0,82.0,58.98,57.2,6.93
526,kelvington,0.0,69.0,52.16,63.48,9.71
527,livingston,1.0,88.0,32.58,77.0,2.33
528,nabire,68.0,94.0,-3.36,74.1,1.66
529,tazovskiy,76.0,74.0,67.47,60.69,19.77
530,lyubuchany,0.0,72.0,55.25,66.79,4.47
531,manicore,0.0,97.0,-5.81,72.75,2.1
532,basco,75.0,94.0,40.33,71.98,10.29
533,san pedro de macoris,20.0,94.0,18.46,77.0,4.7
534,elat,48.0,94.0,2.91,66.36,2.66
535,champerico,40.0,88.0,16.38,69.8,3.36
536,ipixuna,0.0,94.0,-1.76,75.2,9.17
537,moncton,20.0,88.0,46.1,68.0,6.93
538,vradiyivka,0.0,73.0,47.86,75.81,8.48
539,zacualpan,90.0,100.0,21.25,78.8,1.99
540,waghai,92.0,98.0,20.77,78.33,14.41
541,chapleau,12.0,93.0,47.85,56.46,4.23
542,sitka,92.0,83.0,37.17,72.21,6.69
543,shalya,36.0,70.0,57.25,70.59,7.02
544,serebryansk,75.0,36.0,49.68,78.8,2.24
545,fort morgan,1.0,93.0,40.25,60.15,8.05
546,faya,0.0,47.0,18.39,77.94,3.36
547,opuwo,0.0,65.0,-18.06,48.36,3.67
548,itupiranga,0.0,83.0,-5.13,78.8,2.24
549,hollabrunn,80.0,68.0,48.56,69.8,3.36
550,verkhnyaya toyma,20.0,82.0,62.24,59.88,8.25
551,banda aceh,8.0,60.0,5.56,88.14,8.7
552,bandarbeyla,0.0,83.0,9.49,81.75,24.58
553,maniitsoq,92.0,76.0,65.42,48.81,15.52
554,aswan,0.0,29.0,24.09,90.03,7.02
555,tirat karmel,40.0,62.0,32.76,82.15,4.7
556,aldan,12.0,57.0,58.61,69.87,3.44
557,picayune,1.0,88.0,30.53,77.54,2.44
